,Mg_number,radius,MoI,Si_number,Si_number_mantle,x_Fe,P_CS,T_CS,w_S_core,w_Si_core,w_O_core,x_FeS_core,x_FeSi_core,x_FeO_core,T0_CMB,radius_core,radius_inner_core,radius_HMI,temperature_TBL,x_SiO2_mantle,x_FeO_mantle,temp_core,pres_core,oxygen_fug,delta_temp_MTZ,mass_water,mass_water_mantle,Fe_number_core,core_mass_frac,temp_CMB,pres_CMB,dens_CMB,temp_ICB,pres_ICB,dens_ICB,temp_MTZ,pres_MTZ,dens_MTZ,x_MgO_mantle,radius_MTZ,x_S_core,x_S_mantle,S2Fe,Si2Fe,Mg2Fe,S2Si,mass,inner_core_mass_frac,water_frac,pres_surface,w_liq,w_scf,w_sol,h_liq,h_scf,h_sol,w_liq2w_H2O,w_SCF2w_H2O,w_sol2w_H2O,vol_liq,vol_scf,vol_sol,gravity,hydro_struc,temp_HMI,pres_HMI,dens_HMI,bulk_struc
186,0.7374330517719725,2.2151658886962147,0.33659493611583635,0.3980690094633279,0.398069009463328,2.7936561001555613e-07,49.292008708193194,3271.9899448441492,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,3280.892876752473,3280.892876752473,5454.165721599685,258.0,0.3980689425245063,1.6815883705895009e-07,300.0,634.3378192157718,-12.880943086957913,0.0,0.8593798638329142,-4.50004595365653,0.5376344086021506,0.03806020275090699,668.9857965735921,493048967730.97833,9365.736380132304,668.9857965735921,493048967730.97833,9365.736380132304,273.0,332700674655.803,6834.951479660894,0.6019308893166566,5454.165721599685,0.4623655913978495,0.0,0.8599993252326531,1.8573519531752212,2.8085524729926985,0.46302442774103647,6.236387473155241,1.0,0.8593798638329143,13793.009973290416,0.0011471443520588282,0.0,0.8582327194808556,15161.423302404583,0.0,8643494.731981495,0.0013348513274938248,0.0,0.9986651486725061,29.10430544493967,0.0,8505.153620824969,1.2709269245911046,202.0,273.0,332700674655.803,5658.143714062574,35202.0
187,0.6831149633120248,1.465141312641749,0.30400944934139496,0.4939894860161161,0.49398948601611614,7.678267609622681e-07,69.48229142649188,3691.938337862625,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,3870.2483869501825,3870.2483869501825,6549.999551651575,258.0,0.49398929408709186,3.885285613333391e-07,300.0,354.4691143246632,-12.281964075597541,0.0,0.3995494091196312,-0.38797659961155406,0.5376344086021506,0.1687948294579195,362.0094481348358,208198370224.89047,7830.25026652955,362.0094481348358,208198370224.89047,7830.25026652955,273.0,61496845200.41675,4864.320945080751,0.5060103173843469,6549.999551651575,0.4623655913978495,0.0,0.8599985765110656,2.1045063037582277,2.155718586310727,0.4086462344994073,1.9710353482099323,1.0,0.3995494091196313,26572905.93267098,0.0022331667129774223,0.0,0.39731624240665386,21339.072902405635,0.0,2763076.6782866027,0.005589212903350278,0.0,0.9944107870966498,17.874017121704345,0.0,1697.3018759316624,0.9181959740786388,202.0,273.0,61496845200.41675,4111.786740174816,35202.0
188,0.7618424990999892,2.1027023844888486,0.30548129427715764,0.43140901384815594,0.4314090138481559,4.427518974192547e-07,60.97638822944105,3520.523817751987,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,5994.18199526574,5994.18199526574,10992.492331889158,258.0,0.43140890524318604,2.517447860592706e-07,300.0,1749.0270187308201,-12.656180446937801,0.0,0.20440702877332662,-1.7412239569645147,0.5376344086021506,0.18529562070584674,50.0,1028313298731.0831,11102.219121620286,50.0,1028313298731.0831,11102.219121620286,273.0,148026744231.5468,5647.793891525274,0.568590843012028,10992.492331889158,0.4623655913978495,0.0,0.859998781964332,2.4271140036165173,3.1989019712624747,0.35432978454365643,9.518415278641974,1.0,0.20440702877332656,13183388.864067685,0.00040633940358103575,0.0,0.20400068936974552,8987.666359364986,0.0,2394836.8933299314,0.001987893498670432,0.0,0.9980121065013295,15.56451910056149,0.0,3450.962103513195,2.152826517879793,202.0,273.0,148026744231.5468,4772.054633851531,35202.0
189,0.775018584654096,2.0612346413680473,0.3297412940976601,0.37813954105269126,0.37813954105269126,7.684451264218007e-07,63.9047757699627,3580.3713033396616,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,3351.8171971589486,3351.8171971589486,5863.474269585104,258.0,0.37813936035274537,4.778657778504764e-07,300.0,568.6886587504338,-12.101288874768352,0.0,0.79390427322559,-3.160607752811645,0.5376344086021506,0.04938736898779723,634.6957725901286,429046599397.4236,9079.225898081451,634.6957725901286,429046599397.4236,9079.225898081451,273.0,252644809937.23004,6359.623608594346,0.6218601617814767,5863.474269585104,0.4623655913978495,0.0,0.8599977234503946,2.0947134534315897,3.444811579047638,0.41055626106832604,4.981094269678468,1.0,0.7939042732255901,95551.0883896916,0.0013703552284949896,0.0,0.7925339179970952,16709.564184421673,0.0,7251942.066386304,0.0017260962999069277,0.0,0.9982739037000932,27.759697322327007,0.0,6619.794896463536,1.1723840348744414,202.0,273.0,252644809937.23004,5385.003628709824,35202.0
190,0.7717691594980101,2.2336292040978676,0.3408341534140325,0.4623204301023194,0.4623204301023194,4.4011107072183815e-07,68.37525245123477,3670.0371979273464,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,2808.0167015899915,2808.0167015899915,5075.020205135949,258.0,0.4623203206993771,2.366387793623717e-07,300.0,589.9593662036533,-12.712563965777095,0.0,0.8889431351759773,-4.6955831427597445,0.5376344086021506,0.02348950838515131,879.0606069998979,488783951946.62665,9343.22583054492,879.0606069998979,488783951946.62665,9343.22583054492,273.0,339536932035.6522,6904.157771079363,0.5376794426618435,5075.020205135949,0.4623655913978495,0.0,0.8599987201059338,2.907586479589257,3.3815287968992997,0.2957775206835542,6.2822086778702655,1.0,0.8889431351759768,434168.5472945002,0.0011862513203741618,0.0,0.8877568838556026,15438.715551130474,0.0,9139992.738620434,0.0013344512977642032,0.0,0.9986655487022358,30.1324212335998,0.0,8834.111271927892,1.2591869087485177,202.0,273.0,339536932035.6522,5550.439213404341,35202.0
191,0.5236913008025172,1.6141693161062096,0.30291172591098353,0.37877369290391455,0.3787736929039145,5.259059689387448e-07,51.87868313816467,3328.447940652926,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,4709.875931112227,4709.875931112227,6399.068298706909,258.0,0.3787735691560158,3.2670668804336363e-07,300.0,447.94975776791944,-12.374156392941494,0.0,0.5190556964860372,-0.8207652444415231,0.5376344086021506,0.23879617854278962,50.0,214934160422.2564,7877.240681988103,50.0,214934160422.2564,7877.240681988103,273.0,103778284052.31787,5261.642477389945,0.6212261041372962,6399.068298706909,0.4623655913978495,0.0,0.8599995027284352,0.67037346565881,1.0994787659450014,1.2828662630363363,2.5812662301907747,1.0,0.5190556964860372,52013.4434437609,0.0019205643264083455,0.0,0.5171351321596289,19872.306688116863,0.0,3864932.1075176354,0.003700112221887559,0.0,0.9962998877781125,20.210168342455557,0.0,2639.905770531217,0.9906828040176765,202.0,273.0,103778284052.31787,4599.980389507048,35202.0
192,0.845847013241719,2.0552029207778464,0.3377214443684718,0.3443769104004753,0.34437691040047524,1.527555377693043e-07,35.97154876087105,2966.083858587197,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,2674.671726553871,2674.671726553871,5216.573798368222,258.0,0.344376875911106,1.0015006289419032e-07,300.0,472.5693204319476,-12.838060180302808,0.0,0.8519928172419091,-3.1469724191570823,0.5376344086021506,0.02584422870635272,932.4682503126976,389537942548.73834,8888.323570347824,932.4682503126976,389537942548.73834,8888.323570347824,273.0,246448138409.63968,6301.780592084133,0.6556230239388311,5216.573798368222,0.4623655913978495,0.0,0.8599992791658436,2.8821704537473476,5.487062112964738,0.2983859882567624,4.693660739235494,1.0,0.8519928172419096,11093195.161804471,0.0015324698935676756,0.0,0.8504603473483419,17557.945442901924,0.0,7859566.0644645365,0.0017986887477861866,0.0,0.9982013112522138,28.997515017323707,0.0,6746.825759834505,1.1112257034604436,202.0,273.0,246448138409.63968,5426.317213743996,35202.0
193,0.7821942525571236,2.2041242078485186,0.3041486014912408,0.4270972756586434,0.4270972756586434,4.890362008181259e-08,59.81274190924506,3496.486674721243,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,4901.15945888453,4901.15945888453,9038.64066094058,258.0,0.4270972636926515,2.8017017760205437e-08,300.0,1329.0648862187597,-14.561885012049306,0.0,0.49150022932634957,-3.6633316397313958,0.5376344086021506,0.10904141851581475,50.0,896494873607.037,10757.163989688725,50.0,896494873607.037,10757.163989688725,273.0,296021761538.1192,6655.674030088761,0.5729027082903307,9038.64066094058,0.4623655913978495,0.0,0.8599998489625073,2.677264001521671,3.591247071027217,0.3212234013805553,8.453367101684488,1.0,0.4915002293263497,627827513.6938454,0.0,0.0,0.4915002293263498,0.0,0.0,5003834.6672623325,0.0,0.0,1.0,0.0,0.0,6542.958905948719,1.7400334633814163,2.0,273.0,296021761538.1192,5471.637849646551,352.0
194,0.7472002240646128,1.9274403589123592,0.30293782399733316,0.4792781630125226,0.4792781630125226,8.791193444097079e-07,49.055969344119006,3266.7943435684338,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,5082.276350614244,5082.276350614244,9336.59610107892,258.0,0.479277943610083,4.5777683283317873e-07,300.0,1075.8353918597984,-12.003325126686125,0.0,0.3013476455336599,-1.5298793001757256,0.5376344086021506,0.15923968728798216,50.0,658494870845.922,10002.731634495667,50.0,658494870845.922,10002.731634495667,273.0,137272426986.6209,5589.8867984841045,0.5207215986130841,9336.59610107892,0.4623655913978495,0.0,0.859997765363036,2.7204588441048885,2.955699708593053,0.3161223215071282,6.076791947275531,1.0,0.3013476455336599,100284375.29100254,0.0007062171433555825,0.0,0.3006414283903043,12022.550618808717,0.0,2931103.8749329112,0.0023435296536162904,0.0,0.9976564703463838,17.49749401846123,0.0,3326.4099310802835,1.6357332077258264,202.0,273.0,137272426986.6209,4640.664880672727,35202.0
195,0.7972060843717074,2.338002589930099,0.33922991265537383,0.3608470525112277,0.3608470525112276,7.74744681930937e-07,49.7280934681837,3281.569384271391,0.33056344393311504,0.0,0.0,0.86,0.0,0.0,0.0,3040.9232520215096,3040.9232520215096,5400.7082240738455,258.0,0.360846873826809,4.951804854422129e-07,300.0,717.5474063828045,-11.95709297460537,0.0,0.8830968798448278,-5.766585413896632,0.5376344086021506,0.025991180138615396,779.623465919226,587949860964.6768,9741.96766742704,779.623465919226,587949860964.6768,9741.96766742704,273.0,405897530751.18176,7192.538407678245,0.6391526309927056,5400.7082240738455,0.4623655913978495,0.0,0.8599973807733841,2.2193921723921908,3.9311144118984895,0.3874923014829004,7.529957862505301,1.0,0.8830968798448275,23091808.6350416,0.0009947091904765428,0.0,0.882102170654351,14059.403063604608,0.0,9480646.87330721,0.0011263873909862835,0.0,0.9988736126090138,30.0833531778919,0.0,10111.202947635835,1.3775347715621742,202.0,273.0,405897530751.18176,5994.570105804799,35202.0
